site,upedonid,pedlabsampnum,pedon_key,labsampnum,hzn_top,hzn_bot,theta_r,theta_s,alpha,npar,w3cld,w15I2,ds_13b
2110,S2005MS163001,05N0874,32626,05N04487,43,58,0.097764527028064,0.607107433443965,-2.19274567965647,0.109516517930433,48.0999985,NULL,1.0599999
2110,S2005MS163001,05N0874,32626,05N04488,58,91,0.095134123336504,0.597714411135362,-2.11716625969832,0.096187168572186,45.9000015,NULL,1.1
2110,S2005MS163001,05N0874,32626,05N04489,91,127,0.094840811304274,0.563563737175658,-2.12978823733684,0.100194936156792,40.2999992,NULL,1.1900001
2110,S2005MS163001,05N0874,32626,05N04490,127,203,0.097833953889116,0.560994977763958,-2.31261228441593,0.133304455158082,40.5999985,NULL,1.17
2075,2003TN103001,03N0738,30332,03N03667,0,10,0.061803360197661,0.445365031664522,-2.50050933048431,0.223600346597462,26.7000008,NULL,1.3099999
2075,2003TN103001,03N0738,30332,03N03668,10,23,0.061275757378861,0.41700889885218,-2.37674339972773,0.180447447047296,22.3999996,NULL,1.49
2075,2003TN103001,03N0738,30332,03N03669,23,43,0.061927572959047,0.413924962702792,-2.3252565314595,0.165712030672257,21.8999996,NULL,1.52
2075,2003TN103001,03N0738,30332,03N03670,43,71,0.072122856849873,0.418556030751831,-1.83348045197114,0.09194927327797,21.7999992,NULL,1.55
2075,2003TN103001,03N0738,30332,03N03671,71,102,0.094473268712377,0.479925881175637,-1.57998281611436,0.082957733377005,26.7999992,NULL,1.36
2140,S07UT037005,08N0143,34636,08N00965,0,13,0.03284561815547,0.418256000290231,-1.44098298887004,0.133141125313083,13.1000004,NULL,1.35
2140,S07UT037005,08N0143,34636,08N00966,13,41,0.044756174143023,0.405629960743801,-1.31569416189515,0.154204612608021,11.3000002,NULL,1.41
2140,S07UT037005,08N0143,34636,08N00967,41,55,0.05540410154819,0.40924316580016,-1.37739394774279,0.14007398533683,14.1000004,NULL,1.4
2140,S07UT037005,08N0143,34636,08N00968,55,86,0.032210084910008,0.374657964351868,-1.52003551414884,0.134325635971558,12,NULL,1.48
2140,S07UT037005,08N0143,34636,08N00969,86,122,0.031660029920131,0.354331791258063,-1.72356665838633,0.132296422233115,12.6000004,NULL,1.59
2140,S07UT037005,08N0143,34636,08N00970,122,173,0.040608651075655,0.378849078851976,-1.79888064491595,0.127810693208444,15.1999998,NULL,1.5599999
2140,S07UT037005,08N0143,34636,08N00971,173,200,0.037104580179918,0.362002471108476,-2.21409407595902,0.164241847009773,16.2999992,NULL,1.62
2129,S07UT001001,07N0494,34113,07N03213,0,6,0.067782152981492,0.461132347979182,-2.44969862347271,0.205345608345764,28.7000008,NULL,1.27
2129,S07UT001001,07N0494,34113,07N03214,6,24,0.070063185149512,0.476159287334008,-1.71669456774308,0.124487198490971,25.2999992,NULL,1.1900001
2129,S07UT001001,07N0494,34113,07N03215,24,41,0.094826864635809,0.521189417298659,-1.74615804048453,0.11152518709097,30.8999996,NULL,1.16
2129,S07UT001001,07N0494,34113,07N03216,41,103,0.073225403675016,0.468216108934909,-2.19838204994178,0.156633777531191,27.7999992,NULL,1.29
2129,S07UT001001,07N0494,34113,07N03217,103,130,0.096567247123892,0.51307307450079,-1.81017289561906,0.092604995603784,31.7000008,NULL,1.27
2129,S07UT001001,07N0494,34113,07N03218,130,160,0.105872670485905,0.52333312556193,-1.58939331207735,0.095909740246776,30.7000008,NULL,1.1900001
2129,S07UT001001,07N0494,34113,07N03219,160,185,0.049405294993343,0.400056945585019,-2.2207455022473,0.161093972026682,21.2000008,NULL,1.46
2119,S06MT045001,07N0151,33996,07N00977,0,15,0.089224209819763,0.473494489858998,-1.50857133067407,0.110230785343633,23.2000008,NULL,1.28
2119,S06MT045001,07N0151,33996,07N00978,15,48,0.100378746524526,0.528130067859768,-1.49966689534498,0.104938465041806,28.7999992,NULL,1.14
2014,S1992OH097001,92P0724,19347,92P04394,0,27,0.051413544953882,0.399475928731775,-2.19259255780636,0.161351251932101,20.3999996,NULL,1.47
2014,S1992OH097001,92P0724,19347,92P04395,27,37,0.070725371547609,0.423133506363589,-1.9032152011595,0.083152327001982,23.3999996,NULL,1.5700001
2014,S1992OH097001,92P0724,19347,92P04396,37,58,0.081336233161654,0.49667812080246,-2.32801582851328,0.131905536756579,32.0999985,NULL,1.34
2014,S1992OH097001,92P0724,19347,92P04397,58,69,0.074191499910373,0.45925731429515,-2.0423892398042,0.108005966937955,26.6000004,NULL,1.42
